 time            v(Vout)         v(V1)          
 2.87650000e-06  4.87993089e-01  5.00000000e-01 
 2.87750000e-06  4.88056001e-01  5.00000000e-01 
 2.87850000e-06  4.88118765e-01  5.00000000e-01 
 2.87950000e-06  4.88181383e-01  5.00000000e-01 
 2.88050000e-06  4.88243855e-01  5.00000000e-01 
 2.88150000e-06  4.88306181e-01  5.00000000e-01 
 2.88250000e-06  4.88368362e-01  5.00000000e-01 
 2.88350000e-06  4.88430398e-01  5.00000000e-01 
 2.88450000e-06  4.88492290e-01  5.00000000e-01 
 2.88550000e-06  4.88554038e-01  5.00000000e-01 
 2.88650000e-06  4.88615643e-01  5.00000000e-01 
 2.88750000e-06  4.88677104e-01  5.00000000e-01 
 2.88850000e-06  4.88738423e-01  5.00000000e-01 
 2.88950000e-06  4.88799600e-01  5.00000000e-01 
 2.89050000e-06  4.88860635e-01  5.00000000e-01 
 2.89150000e-06  4.88921529e-01  5.00000000e-01 
 2.89250000e-06  4.88982282e-01  5.00000000e-01 
 2.89350000e-06  4.89042893e-01  5.00000000e-01 
 2.89450000e-06  4.89103365e-01  5.00000000e-01 
 2.89550000e-06  4.89163697e-01  5.00000000e-01 
 2.89650000e-06  4.89223889e-01  5.00000000e-01 
 2.89750000e-06  4.89283941e-01  5.00000000e-01 
 2.89850000e-06  4.89343855e-01  5.00000000e-01 
 2.89950000e-06  4.89403630e-01  5.00000000e-01 
 2.90050000e-06  4.89463266e-01  5.00000000e-01 
 2.90150000e-06  4.89522764e-01  5.00000000e-01 
 2.90250000e-06  4.89582124e-01  5.00000000e-01 
 2.90350000e-06  4.89641346e-01  5.00000000e-01 
 2.90450000e-06  4.89700431e-01  5.00000000e-01 
 2.90550000e-06  4.89759378e-01  5.00000000e-01 
 2.90650000e-06  4.89818188e-01  5.00000000e-01 
 2.90750000e-06  4.89876861e-01  5.00000000e-01 
 2.90850000e-06  4.89935397e-01  5.00000000e-01 
 2.90950000e-06  4.89993796e-01  5.00000000e-01 
 2.91050000e-06  4.90052058e-01  5.00000000e-01 
 2.91150000e-06  4.90110183e-01  5.00000000e-01 
 2.91250000e-06  4.90168172e-01  5.00000000e-01 
 2.91350000e-06  4.90226024e-01  5.00000000e-01 
 2.91450000e-06  4.90283740e-01  5.00000000e-01 
 2.91550000e-06  4.90341319e-01  5.00000000e-01 
 2.91650000e-06  4.90398761e-01  5.00000000e-01 
 2.91750000e-06  4.90456066e-01  5.00000000e-01 
 2.91850000e-06  4.90513234e-01  5.00000000e-01 
 2.91950000e-06  4.90570265e-01  5.00000000e-01 
 2.92050000e-06  4.90627159e-01  5.00000000e-01 
 2.92150000e-06  4.90683915e-01  5.00000000e-01 
 2.92250000e-06  4.90740534e-01  5.00000000e-01 
 2.92350000e-06  4.90797015e-01  5.00000000e-01 
 2.92450000e-06  4.90853357e-01  5.00000000e-01 
 2.92550000e-06  4.90909561e-01  5.00000000e-01 
 2.92650000e-06  4.90965627e-01  5.00000000e-01 
 2.92750000e-06  4.91021552e-01  5.00000000e-01 
 2.92850000e-06  4.91077339e-01  5.00000000e-01 
 2.92950000e-06  4.91132985e-01  5.00000000e-01 
 2.93050000e-06  4.91188490e-01  5.00000000e-01 
 2.93150000e-06  4.91243854e-01  5.00000000e-01 
 2.93250000e-06  4.91299077e-01  5.00000000e-01 
 2.93350000e-06  4.91354156e-01  5.00000000e-01 
 2.93450000e-06  4.91409094e-01  5.00000000e-01 
 2.93550000e-06  4.91463887e-01  5.00000000e-01 
 2.93650000e-06  4.91518535e-01  5.00000000e-01 
 2.93750000e-06  4.91573039e-01  5.00000000e-01 
 2.93850000e-06  4.91627396e-01  5.00000000e-01 
 2.93950000e-06  4.91681606e-01  5.00000000e-01 
 2.94050000e-06  4.91735669e-01  5.00000000e-01 
 2.94150000e-06  4.91789582e-01  5.00000000e-01 
 2.94250000e-06  4.91843346e-01  5.00000000e-01 
 2.94350000e-06  4.91896959e-01  5.00000000e-01 
 2.94450000e-06  4.91950420e-01  5.00000000e-01 
 2.94550000e-06  4.92003727e-01  5.00000000e-01 
 2.94650000e-06  4.92056880e-01  5.00000000e-01 
 2.94750000e-06  4.92109877e-01  5.00000000e-01 
 2.94850000e-06  4.92162718e-01  5.00000000e-01 
 2.94950000e-06  4.92215400e-01  5.00000000e-01 
 2.95050000e-06  4.92267922e-01  5.00000000e-01 
 2.95150000e-06  4.92320283e-01  5.00000000e-01 
 2.95250000e-06  4.92372481e-01  5.00000000e-01 
 2.95350000e-06  4.92424515e-01  5.00000000e-01 
 2.95450000e-06  4.92476383e-01  5.00000000e-01 
 2.95550000e-06  4.92528083e-01  5.00000000e-01 
 2.95650000e-06  4.92579615e-01  5.00000000e-01 
 2.95750000e-06  4.92630974e-01  5.00000000e-01 
 2.95850000e-06  4.92682162e-01  5.00000000e-01 
 2.95950000e-06  4.92733174e-01  5.00000000e-01 
 2.96050000e-06  4.92784009e-01  5.00000000e-01 
 2.96150000e-06  4.92834666e-01  5.00000000e-01 
 2.96250000e-06  4.92885142e-01  5.00000000e-01 
 2.96350000e-06  4.92935435e-01  5.00000000e-01 
 2.96450000e-06  4.92985543e-01  5.00000000e-01 
 2.96550000e-06  4.93035464e-01  5.00000000e-01 
 2.96650000e-06  4.93085197e-01  5.00000000e-01 
 2.96750000e-06  4.93134737e-01  5.00000000e-01 
 2.96850000e-06  4.93184084e-01  5.00000000e-01 
 2.96950000e-06  4.93233234e-01  5.00000000e-01 
 2.97050000e-06  4.93282187e-01  5.00000000e-01 
 2.97150000e-06  4.93330938e-01  5.00000000e-01 
 2.97250000e-06  4.93379486e-01  5.00000000e-01 
 2.97350000e-06  4.93427828e-01  5.00000000e-01 
 2.97450000e-06  4.93475962e-01  5.00000000e-01 
 2.97550000e-06  4.93523886e-01  5.00000000e-01 
 2.97650000e-06  4.93571596e-01  5.00000000e-01 
 2.97750000e-06  4.93619091e-01  5.00000000e-01 
 2.97850000e-06  4.93666368e-01  5.00000000e-01 
 2.97950000e-06  4.93713423e-01  5.00000000e-01 
 2.98050000e-06  4.93760256e-01  5.00000000e-01 
 2.98150000e-06  4.93806862e-01  5.00000000e-01 
 2.98250000e-06  4.93853241e-01  5.00000000e-01 
 2.98350000e-06  4.93899388e-01  5.00000000e-01 
 2.98450000e-06  4.93945302e-01  5.00000000e-01 
 2.98550000e-06  4.93990979e-01  5.00000000e-01 
 2.98650000e-06  4.94036419e-01  5.00000000e-01 
 2.98750000e-06  4.94081617e-01  5.00000000e-01 
 2.98850000e-06  4.94126572e-01  5.00000000e-01 
 2.98950000e-06  4.94171281e-01  5.00000000e-01 
 2.99050000e-06  4.94215742e-01  5.00000000e-01 
 2.99150000e-06  4.94259951e-01  5.00000000e-01 
 2.99250000e-06  4.94303909e-01  5.00000000e-01 
 2.99350000e-06  4.94347611e-01  5.00000000e-01 
 2.99450000e-06  4.94391056e-01  5.00000000e-01 
 2.99550000e-06  4.94434241e-01  5.00000000e-01 
 2.99650000e-06  4.94477165e-01  5.00000000e-01 
 2.99750000e-06  4.94519825e-01  5.00000000e-01 
 2.99850000e-06  4.94562219e-01  5.00000000e-01 
 2.99950000e-06  4.94604346e-01  5.00000000e-01 
 3.00050000e-06  4.94646205e-01  5.00000000e-01 
 3.00150000e-06  4.94687792e-01  5.00000000e-01 
 3.00250000e-06  4.94729107e-01  5.00000000e-01 
 3.00350000e-06  4.94770147e-01  5.00000000e-01 
 3.00450000e-06  4.94810912e-01  5.00000000e-01 
 3.00550000e-06  4.94851401e-01  5.00000000e-01 
 3.00650000e-06  4.94891611e-01  5.00000000e-01 
 3.00750000e-06  4.94931542e-01  5.00000000e-01 
 3.00850000e-06  4.94971193e-01  5.00000000e-01 
 3.00950000e-06  4.95010562e-01  5.00000000e-01 
 3.01050000e-06  4.95049650e-01  5.00000000e-01 
 3.01150000e-06  4.95088454e-01  5.00000000e-01 
 3.01250000e-06  4.95126976e-01  5.00000000e-01 
 3.01350000e-06  4.95165213e-01  5.00000000e-01 
 3.01450000e-06  4.95203166e-01  5.00000000e-01 
 3.01550000e-06  4.95240834e-01  5.00000000e-01 
 3.01650000e-06  4.95278218e-01  5.00000000e-01 
 3.01750000e-06  4.95315316e-01  5.00000000e-01 
 3.01850000e-06  4.95352130e-01  5.00000000e-01 
 3.01950000e-06  4.95388658e-01  5.00000000e-01 
 3.02050000e-06  4.95424903e-01  5.00000000e-01 
 3.02150000e-06  4.95460863e-01  5.00000000e-01 
 3.02250000e-06  4.95496539e-01  5.00000000e-01 
 3.02350000e-06  4.95531932e-01  5.00000000e-01 
 3.02450000e-06  4.95567044e-01  5.00000000e-01 
 3.02550000e-06  4.95601873e-01  5.00000000e-01 
